,Movie_Titles,Director,Genre,IMDB_Ratings,Votes,Certificate,Gross,Years
300,Paper Moon,Peter Bogdanovich,Comedy,8.1,47393,U,30.93,1973
301,The Exorcist,William Friedkin,Horror            ,8.1,397394,A,232.91,1973
302,Anand,Hrishikesh Mukherjee,Drama,8.1,33686,U,79.78543749999999,1971
303,Cool Hand Luke,Stuart Rosenberg,Crime,8.1,175678,A,16.22,1967
304,Persona,Ingmar Bergman,Drama,8.1,117021, ,79.78543749999999,1966
305,The Sound of Music,Robert Wise,Biography,8.1,230106,U,163.21,1965
306,La battaglia di Algeri,Gillo Pontecorvo,Drama,8.1,59683, ,0.06,1966
307,The Man Who Shot Liberty Valance,John Ford,Drama,8.1,75639,U,79.78543749999999,1962
308,Jungfrukällan,Ingmar Bergman,Drama            ,8.1,29222,A,1.53,1960
309,Inherit the Wind,Stanley Kramer,Biography,8.1,30097, ,79.78543749999999,1960
310,Les quatre cents coups,François Truffaut,Crime,8.1,116621,U,79.78543749999999,1959
311,Ben-Hur,William Wyler,Adventure,8.1,237346,U,74.7,1959
312,Kakushi-toride no san-akunin,Akira Kurosawa,Action,8.1,38892, ,79.78543749999999,1958
313,Smultronstället,Ingmar Bergman,Drama,8.1,106470,U,79.78543749999999,1957
314,Det sjunde inseglet,Ingmar Bergman,Drama,8.1,183253,A,79.78543749999999,1957
315,Le notti di Cabiria,Federico Fellini,Drama            ,8.1,48740, ,0.75,1957
316,Kumonosu-jô,Akira Kurosawa,Drama,8.1,51921,U,79.78543749999999,1957
317,Du rififi chez les hommes,Jules Dassin,Crime,8.1,34248, ,0.06,1955
318,On the Waterfront,Elia Kazan,Crime,8.1,153863,A,9.6,1954
319,Les diaboliques,Henri-Georges Clouzot,Crime,8.1,65640, ,1.09,1955
320,Ace in the Hole,Billy Wilder,Drama,8.1,35727, ,3.97,1951
321,White Heat,Raoul Walsh,Action,8.1,32791, ,79.78543749999999,1949
322,The Third Man,Carol Reed,Film-Noir,8.1,170405,U,0.45,1949
323,The Red Shoes,"Michael Powell, ",Drama,8.1,34821, ,10.9,1948
324,The Best Years of Our Lives,William Wyler,Drama,8.1,63973, ,23.65,1946
325,The Shop Around the Corner,Ernst Lubitsch,Comedy,8.1,32868, ,0.2,1940
326,Rebecca,Alfred Hitchcock,Drama,8.1,136046, ,4.36,1940
327,The Grapes of Wrath,John Ford,Drama            ,8.1,92542, ,0.06,1940
328,The Wizard of Oz,"Victor Fleming, ",Adventure,8.1,394018,U,2.08,1939
329,Mr. Smith Goes to Washington,Frank Capra,Comedy,8.1,114988,U,9.6,1939
